brand,persona,headline,quote,logp
NordVPN,Pride,We are the NordVPN elite!,We are the champions!,-0.5006359830040578
NordVPN,Pride,We are the champions of online privacy - NordVPN.,We are the champions,-0.5277362697675833
NordVPN,Pride,NordVPN: The shield of the web reigns!,I am the king of the world!,-0.5633247017095658
HelloFresh,Joy,"Meals, HelloFresh meals!","Food, glorious food!",-0.528093282322001
HelloFresh,Joy,"Life is short, eat HelloFresh first.","Life is short, eat dessert first.",-0.580428161795401
HelloFresh,Joy,"HelloFresh, glorious meals!","Food, glorious food!",-0.614242269339718
HelloFresh,Joy,Let them eat HelloFresh!,Let them eat cake!,-0.5249780590237821
HelloFresh,Joy,"HelloFresh, glorious meals!",,-0.5011424679975474
HelloFresh,Joy,HelloFresh meals are here again!,"Hakuna Matata, what a wonderful phrase",-0.5171219117645673
HelloFresh,Joy,"Life is a feast, and your HelloFresh box is here.","Life is a banquet, and the menu is yours.",-0.5255133484471636
HelloFresh,Joy,Let’s cook fresh!,Let’s dance!,-0.5357470573023029
HelloFresh,Joy,The way to your family’s heart is through their HelloFresh box.,The way to a loved one's heart is through their stomach.,-0.5992694663238123
HelloFresh,Joy,You're living on HelloFresh!,Happy days are here again,-0.5534767050978936
Dollar Shave Club,Anticipation,"Dollar Shave's coming, I can feel it in the blade.","Something's coming, I can feel it in the air.",-0.4431551070131385
Dollar Shave Club,Anticipation,"Dollar Shave Club's arriving, I can feel it in the air.","Something's coming, I can feel it in the air.",-0.535234266982124
Dollar Shave Club,Anticipation,"Dollar Shave Club's coming, you can feel it in the air.","Something's coming, you can feel it in the air.",-0.4536657709330018
Dollar Shave Club,Anticipation,"Stay tuned, something’s about to ship.","Stay tuned, something’s about to drop.",-0.46474029794977656
Dollar Shave Club,Anticipation,"The shave is almost here, Dollar Shave Club!",The wait is almost over,-0.48013323951684994
Dollar Shave Club,Anticipation,The best is yet to shave.,The best is yet to come.,-0.47545335905545916
Dollar Shave Club,Anticipation,Dollar Shave Club’s coming—you can feel it in the box!,something coming,-0.5353095515932793
Dollar Shave Club,Anticipation,The shave is almost here!,The wait is almost over,-0.5214447170330585
Casper,Trust,"Sleep tight, don’t let the worries bother.","Sleep tight, don't let the bed bugs bite.",-0.5186926547603111
Casper,Trust,Casper is the glue of sleep.,Trust is the glue of life.,-0.5759523465329573
Casper,Trust,There's no place like Casper.,You're in safe hands,-0.6100000790747985
Casper,Trust,Safety is the first law of slumber. – Casper,Sleep tight,-0.5080237969208024
Casper,Trust,Your bed is Casper’s castle.,Your home is your castle.,-0.5693296400440166
Casper,Trust,There's no mattress like Casper.,There's no place like home,-0.38723488190646566
Casper,Trust,Nothing's gonna hurt you with Casper.,Nothing's gonna hurt you here,-0.5794667617436863
Casper,Trust,Better safe with Casper than sorry.,Better safe than sorry,-0.5135490435486039
Amazon Prime,Anticipation,The wait is the shortest part.,The wait is the hardest part.,-0.5348260045083298
Amazon Prime,Anticipation,"Prime’s coming, I can feel it in the stream.","Something's coming, I can feel it in the air",-0.5576107848827602
Amazon Prime,Anticipation,"Stay tuned, Prime’s coming!","Stay tuned, something’s coming.",-0.4248367340309889
Amazon Prime,Anticipation,Prime is yet to come.,The best is yet to come.,-0.6055270420647415
Amazon Prime,Anticipation,The wait is the Prime part.,The wait is the hardest part.,-0.5605412027491314
Amazon Prime,Anticipation,"Prime’s coming, but you don’t know what it’ll bring.","Something's coming, but you don't know what it is",-0.452731717349821
Amazon Prime,Anticipation,"Something’s coming, and it’s not your Prime Day!","Something’s coming, and it’s not your birthday",-0.5437422766155728
Amazon Prime,Anticipation,Prime’s wait is almost over.,The wait is almost over.,-0.5330271640186123
Amazon Prime,Anticipation,Something Prime this way streams!,,-0.4716112179124539
Netflix,Trust,There’s no place like your couch on Netflix.,,-0.5128619679866304
Netflix,Trust,"In times of doubt, choose Netflix.","In times of doubt, choose trust.",-0.5363736599574888
Amazon Prime,Anticipation,"Stay tuned, because Prime’s best is yet to come.",The best is yet to come,-0.44978271195365055
Amazon Prime,Anticipation,Prime’s best is yet to come.,The best is yet to come.,-0.5533821867028186
Amazon Prime,Anticipation,Something Prime this way comes!,,-0.534844289145485
Amazon Prime,Anticipation,"Your order’s coming, and it’s coming Prime-fast!",what’s coming,-0.425498242790676
Amazon Prime,Anticipation,Prime is out there!,Adventure is out there!,-0.5882809767521417
Amazon Prime,Anticipation,Prime’s best is yet to come.,The best is yet to come,-0.5030599640605127
Amazon Prime,Anticipation,What’s coming is Prime.,What’s coming is coming.,-0.5195256928250425
Amazon Prime,Anticipation,May the Prime be with you.,May the Force be with you,-0.3598507911344801
Amazon Prime,Anticipation,Something Prime this way comes!,Something wicked this way comes.,-0.5849576097087635
Amazon Prime,Anticipation,"Stay tuned, Prime’s coming!",
Amazon Prime,Anticipation,"Prime’s coming, and you don’t know what’s next!","Something’s coming, and I don’t know what it is"
Amazon Prime,Anticipation,"Amazon Prime’s coming, I can feel it in the air tonight.",
Amazon Prime,Anticipation,Prime is almost here!,The wait is almost over.
Amazon Prime,Anticipation,The Prime is the most anticipated part.,The waiting is the hardest part
Amazon Prime,Anticipation,The Prime is almost here.,The wait is almost over
Amazon Prime,Anticipation,The Prime experiences await.,The best is yet to come.
